Title,Link,ID
APRENDER RÁPIDO LA TABLA PERIÓDICA | Tips y Trucos,https://www.youtube.com/watch?v=WnSS5mu28qs,WnSS5mu28qs
OBTENIENDO ACEITE ESENCIAL DE ROMERO,https://www.youtube.com/watch?v=TZ4nFjgGNac,TZ4nFjgGNac
QUÉ ES EL pH | Química Básica,https://www.youtube.com/watch?v=vIf54jqQmKU,vIf54jqQmKU
ESTRUCTURA DE LEWIS Y REGLA DEL OCTETO | Química básica,https://www.youtube.com/watch?v=ttNWZ1cbs34,ttNWZ1cbs34
QUE ES UN ISOTOPO,https://www.youtube.com/watch?v=Ut5lncwhMvA,Ut5lncwhMvA
QUÉ ES UN ÁCIDO Y UNA BASE | Química Básica,https://www.youtube.com/watch?v=0wdDvNoxfb4,0wdDvNoxfb4
IDENTIFICAR TIPOS DE ENLACE | Química Básica,https://www.youtube.com/watch?v=seHyXV8NgnY,seHyXV8NgnY
HALLAR HIBRIDACIONES FÁCIL Y RÁPIDO,https://www.youtube.com/watch?v=ectaKaSl254,ectaKaSl254
TIPOS DE ISÓMEROS | Química Orgánica,https://www.youtube.com/watch?v=fMllRfO7eII,fMllRfO7eII
DIFERENCIA ENTRE ÁTOMOS Y MOLÉCULAS | Química Básica,https://www.youtube.com/watch?v=C16kPTa75jc,C16kPTa75jc
VALORACIÓN ÁCIDO-BASE: EXPERIMENTAL,https://www.youtube.com/watch?v=Zps36BWNf5M,Zps36BWNf5M
PORCENTAJE MASA-VOLUMEN | Química básica,https://www.youtube.com/watch?v=cP9lu7L31tg,cP9lu7L31tg
COMO APROBAR QUIMICA | TIPS Y CONSEJOS,https://www.youtube.com/watch?v=HsWZK-_0T3w,HsWZK-_0T3w
FUERZAS DE VAN DER WAALS | Química Básica,https://www.youtube.com/watch?v=Yh9gcKZszGQ,Yh9gcKZszGQ
GRUPOS FUNCIONALES Y PRIORIDADES | Nomenclatura Orgánica,https://www.youtube.com/watch?v=9JlqKaA6cJE,9JlqKaA6cJE
OBTENIENDO EXTRACTO DE MENTA,https://www.youtube.com/watch?v=3VV8GMcSaJw,3VV8GMcSaJw
ENLACE POR PUENTE DE HIDRÓGENO | Química básica,https://www.youtube.com/watch?v=Jf7fCbpvAdY,Jf7fCbpvAdY
LEYES DE LOS GASES | Teoría de Gases,https://www.youtube.com/watch?v=xZaWCoabiIY,xZaWCoabiIY
SN1: MECANISMO | SUSTITUCIÓN NUCLEOFÍLICA | Química Orgánica,https://www.youtube.com/watch?v=lW4cZ--u_Kg,lW4cZ--u_Kg
RESONANCIA Y MOVIMIENTO DE ELECTRONES | Química Básica,https://www.youtube.com/watch?v=PvTTjGgpkBE,PvTTjGgpkBE
TEORÍA DE ORBITALES MOLECULARES Introducción,https://www.youtube.com/watch?v=MEs3-4jnbF4,MEs3-4jnbF4
POLÍMEROS | INTRODUCCIÓN | Química Básica,https://www.youtube.com/watch?v=GrPqU2dzk9Y,GrPqU2dzk9Y
"IONES, CATIONES Y ANIONES | ¿Qué son?",https://www.youtube.com/watch?v=vTSqj5tcLEQ,vTSqj5tcLEQ
PORCENTAJE MASA-MASA | Química Básica,https://www.youtube.com/watch?v=7n6PkXYVBAw,7n6PkXYVBAw
POLARIDAD EN MOLÉCULAS,https://www.youtube.com/watch?v=Q7l-sd-UcIA,Q7l-sd-UcIA
TIPOS DE REACCIONES | Química Orgánica,https://www.youtube.com/watch?v=gdHecHHkj38,gdHecHHkj38
HALOGENACIÓN DE ALCANOS | Reacciones orgánicas,https://www.youtube.com/watch?v=ZjmmcgZsG40,ZjmmcgZsG40
APRENDER LAS VALENCIAS FÁCIL Y RÁPIDO,https://www.youtube.com/watch?v=DlPq2wEeuRQ,DlPq2wEeuRQ
QUE ES UNA DISOLUCIÓN | Química básica,https://www.youtube.com/watch?v=mps-HK5Dpvc,mps-HK5Dpvc
¿QUÉ ES LA HIBRIDACIÓN? | Química Básica,https://www.youtube.com/watch?v=3dEvUqWHMBk,3dEvUqWHMBk
"QUE SON LOS ÁCIDOS Y BASES | Arrhenius, Bronsted, Lewis.",https://www.youtube.com/watch?v=GJw0R3hQRkg,GJw0R3hQRkg
DIAGRAMA DE FASES,https://www.youtube.com/watch?v=JEpuDy1OP3E,JEpuDy1OP3E
¿ES UN ÁCIDO FUERTE O DÉBIL?,https://www.youtube.com/watch?v=jY9Eb0_UEbE,jY9Eb0_UEbE
